"c1_1"	"c1_2"	"c1_3"	"c1_4"	"c1_5"	"c1_6"	"c1_7"	"c1_8"	"c1_9"	"c1_10"	"c1_11"	"c1_12"	"c1_13"	"c1_14"	"c1_15"	"c1_16"	"c1_17"	"c1_18"	"c1_19"	"c1_20"	"c1_21"	"c1_22"	"c1_23"	"c1_24"	"c1_25"
"g11"	764.203984829075	594.980954269458	1014.40235306145	681.941240394336	525.971281124666	708.270028572815	571.000421852567	632.946449979321	593.829643553615	806.052439143398	689.72498568054	1007.87126729354	878.620151363176	1248.00980231475	1161.78054162019	1096.96083394954	1067.16907806105	1086.531533064	1411.05237150859	1626.81543633796	1347.78900652263	996.789160276665	1042.9570987378	1184.35442904938	779.835829017243
"g12"	4.78284436278045	4.98599424026906	3.94351258408278	10.7748681947411	52.1725525124849	8.45380067126825	61.3326815936171	4.36539797112346	1.97410344611853	27.8613164790532	219.321028407289	97.6213468731855	368.182525003221	290.896780467289	236.680117069332	225.514154231943	172.083643512432	187.204719188336	192.477816741037	128.318944939194	273.129100991116	86.1341609647987	141.095972047157	28.7777552914121	106.380357718319
"g13"	760.404577872368	548.577668453517	524.720116689763	707.333574385345	697.796311776918	599.142482165973	909.398204703917	614.258723695977	949.585275841099	1174.10011536204	891.115445783891	1053.58234000212	1659.31548101149	1120.65786856273	1271.53980042233	1462.03131694464	1715.74364063797	1246.92036366265	965.880947424553	1130.80823860162	1079.40878525763	1451.70856901669	910.821101970273	724.621777386799	1009.65360244096
"g14"	1966.13476673981	970.048557668065	1256.7027018098	1433.8341340502	2367.27209216509	1406.8580084047	504.636663136126	1496.66912653172	984.337880286206	2239.14306831201	2315.95028683729	2218.99887306079	2028.25053999931	1840.38196562005	3117.40269444782	2598.81519647603	2306.78320965773	2006.84809036605	2069.45833092651	2581.78311915534	1317.59651221126	2219.86889362792	1408.09793856676	672.133973314938	975.224457515764
"g15"	635.262308378775	593.775630773905	334.965715919932	1350.12757690589	701.827447926746	722.529630236965	1090.95923475091	823.019051076452	1067.26780285081	1270.24223523686	841.298774647764	1591.27159288755	790.295094875833	1042.01494081872	1107.78286806623	1039.84494564114	949.657243515584	1047.56022989724	1118.15628623417	902.441696374785	438.16009562067	651.703649310435	926.750993348157	612.205154445781	387.980865356679
"g16"	1027.68417722613	1468.85404849832	1156.15514907651	963.649294897885	1128.97487784609	1923.09129323005	1533.2664353683	1837.61905473961	2212.62500591395	3178.89690091478	2503.93212908381	2332.06591917075	2751.73088167044	2677.9171419473	1901.64526395702	2003.98869910001	1968.46120456501	1879.8534262467	2724.46600362854	1879.31167545177	981.716368161765	923.508258272377	1110.92596684979	900.304554244436	745.856421818061
"g17"	1.71925951261073	166.208366501935	153.298125142406	15.7208302575985	41.0119427169273	317.392620536108	174.568575271452	340.783153676243	363.123398588227	268.856195008376	344.815200549565	263.562452875001	395.680955676701	241.191832709899	369.372825841181	198.579137786326	197.345192399177	214.895178347673	7.11232351604849	138.730123041805	3.80455330945551	1.33408157387748	1.96838846663013	302.519266928645	3.6549691692926
"g18"	459.591576280588	810.249913037224	889.25693344784	1111.76245577745	1100.1736515522	891.857505363402	1007.26017921464	1184.85999742632	1017.1986923571	1203.0012759904	1542.12764399292	851.944077182191	1065.28231458528	1255.48381869289	850.360726065696	745.414039343778	928.302355716191	756.687874746373	794.067636660278	751.693129953183	715.099158646291	558.451223131373	560.225871565285	873.222427065572	556.305757996529
"g19"	47.7089728930367	34.2901985245768	256.151991555754	147.475423817	263.759233219773	304.918563260895	256.593285718215	285.168007052488	883.897677852936	438.865000803056	382.322483559883	437.621185905938	737.093241789097	249.583822261664	167.304532911932	98.9176500387565	4.23447619657964	4.9063778645359	21.5367986929284	9.10258787451312	10.9322815575661	40.0937751542204	270.186277466789	5.04625343251973	262.41544433778
"g20"	915.561249271895	775.640206577935	610.707823740379	1001.37884840093	864.475479960694	1701.70765370918	1202.68305305776	1068.44598254187	1029.94538812846	1636.86825098424	785.339887207094	771.29007311941	475.21467561065	526.429830368076	251.690756696217	451.991896477258	561.311101828326	222.356432031672	479.726652778606	121.967946185807	103.046407506177	1.79064472904429	167.590678725408	825.161408374974	1201.39638851884
